Property Code,Total Units (2022Jul) (Outdoor Parking),Occupied (2022Jul) (Outdoor Parking),Percentage (2022Jul) (Outdoor Parking),New Lease (2022Jul) (Outdoor Parking),Ending Lease (2022Jul) (Outdoor Parking),Price (2022Jul) (Outdoor Parking),Lease_Turnover_Rate (2022Jul) (Outdoor Parking),Ending_Lease_Rate (2022Jul) (Outdoor Parking),Price_per_Unit (2022Jul) (Outdoor Parking),Total Units (2022Aug) (Outdoor Parking),Occupied (2022Aug) (Outdoor Parking),Percentage (2022Aug) (Outdoor Parking),New Lease (2022Aug) (Outdoor Parking),Ending Lease (2022Aug) (Outdoor Parking),Price (2022Aug) (Outdoor Parking),Lease_Turnover_Rate (2022Aug) (Outdoor Parking),Ending_Lease_Rate (2022Aug) (Outdoor Parking),Price_per_Unit (2022Aug) (Outdoor Parking),Total Units (2022Sep) (Outdoor Parking),Occupied (2022Sep) (Outdoor Parking),Percentage (2022Sep) (Outdoor Parking),New Lease (2022Sep) (Outdoor Parking),Ending Lease (2022Sep) (Outdoor Parking),Price (2022Sep) (Outdoor Parking),Lease_Turnover_Rate (2022Sep) (Outdoor Parking),Ending_Lease_Rate (2022Sep) (Outdoor Parking),Price_per_Unit (2022Sep) (Outdoor Parking),Total Units (2022Oct) (Outdoor Parking),Occupied (2022Oct) (Outdoor Parking),Percentage (2022Oct) (Outdoor Parking),New Lease (2022Oct) (Outdoor Parking),Ending Lease (2022Oct) (Outdoor Parking),Price (2022Oct) (Outdoor Parking),Lease_Turnover_Rate (2022Oct) (Outdoor Parking),Ending_Lease_Rate (2022Oct) (Outdoor Parking),Price_per_Unit (2022Oct) (Outdoor Parking),Total Units (2022Dec) (Outdoor Parking),Occupied (2022Dec) (Outdoor Parking),Percentage (2022Dec) (Outdoor Parking),New Lease (2022Dec) (Outdoor Parking),Ending Lease (2022Dec) (Outdoor Parking),Price (2022Dec) (Outdoor Parking),Lease_Turnover_Rate (2022Dec) (Outdoor Parking),Ending_Lease_Rate (2022Dec) (Outdoor Parking),Price_per_Unit (2022Dec) (Outdoor Parking),Total Units (2023Apr) (Outdoor Parking),Occupied (2023Apr) (Outdoor Parking),Percentage (2023Apr) (Outdoor Parking),New Lease (2023Apr) (Outdoor Parking),Ending Lease (2023Apr) (Outdoor Parking),Price (2023Apr) (Outdoor Parking),Lease_Turnover_Rate (2023Apr) (Outdoor Parking),Ending_Lease_Rate (2023Apr) (Outdoor Parking),Price_per_Unit (2023Apr) (Outdoor Parking),Total Units (2023May) (Outdoor Parking),Occupied (2023May) (Outdoor Parking),Percentage (2023May) (Outdoor Parking),New Lease (2023May) (Outdoor Parking),Ending Lease (2023May) (Outdoor Parking),Price (2023May) (Outdoor Parking),Lease_Turnover_Rate (2023May) (Outdoor Parking),Ending_Lease_Rate (2023May) (Outdoor Parking),Price_per_Unit (2023May) (Outdoor Parking)
y50121,57.0,29.0,50.88%,2.0,7.0,80.0,3.51%,12.28%,140.35%,57.0,32.0,56.14%,2.0,29.0,80.0,3.51%,50.88%,140.35%,57.0,32.0,56.14%,1.0,29.0,80.0,1.75%,50.88%,140.35%,57.0,31.0,54.39%,4.0,30.0,80.0,7.02%,52.63%,140.35%,57.0,32.0,56.14%,8.0,30.0,80.0,14.04%,52.63%,140.35%,57.0,32.0,56.14%,1.0,32.0,80.0,1.75%,56.14%,140.35%,57.0,31.0,54.39%,4.0,31.0,80.0,7.02%,54.39%,140.35%
y50670,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0
y50680,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0
y52950,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0
y53000,38.0,29.0,76.32%,1.0,7.0,85.0,2.63%,18.42%,223.68%,38.0,29.0,76.32%,0.0,11.0,85.0,0.0%,28.95%,223.68%,38.0,30.0,78.95%,0.0,10.0,85.0,0.0%,26.32%,223.68%,38.0,30.0,78.95%,6.0,11.0,85.0,15.79%,28.95%,223.68%,38.0,28.0,73.68%,3.0,11.0,85.0,7.89%,28.95%,223.68%,38.0,31.0,81.58%,0.0,10.0,85.0,0.0%,26.32%,223.68%,38.0,31.0,81.58%,5.0,9.0,85.0,13.16%,23.68%,223.68%
y53590,299.0,256.0,85.62%,6.0,8.0,90.0,2.01%,2.68%,30.1%,299.0,255.0,85.28%,0.0,70.0,90.0,0.0%,23.41%,30.1%,299.0,261.0,87.29%,0.0,63.0,110.0,0.0%,21.07%,36.79%,300.0,257.0,85.67%,19.0,94.0,110.0,6.33%,31.33%,36.67%,300.0,255.0,85.0%,2.0,70.0,110.0,0.67%,23.33%,36.67%,302.0,260.0,86.09%,1.0,66.0,110.0,0.33%,21.85%,36.42%,302.0,257.0,85.1%,2.0,70.0,110.0,0.66%,23.18%,36.42%
y53600,413.0,379.0,91.77%,31.0,68.0,70.0,7.51%,16.46%,16.95%,412.0,377.0,91.5%,0.0,54.0,70.0,0.0%,13.11%,16.99%,412.0,378.0,91.75%,2.0,56.0,70.0,0.49%,13.59%,16.99%,412.0,379.0,91.99%,34.0,56.0,70.0,8.25%,13.59%,16.99%,412.0,374.0,90.78%,37.0,62.0,70.0,8.98%,15.05%,16.99%,412.0,373.0,90.53%,0.0,69.0,70.0,0.0%,16.75%,16.99%,412.0,371.0,90.05%,27.0,64.0,75.0,6.55%,15.53%,18.2%
y53620,56.0,53.0,94.64%,5.0,13.0,90.0,8.93%,23.21%,160.71%,56.0,52.0,92.86%,0.0,24.0,90.0,0.0%,42.86%,160.71%,56.0,52.0,92.86%,0.0,25.0,90.0,0.0%,44.64%,160.71%,56.0,52.0,92.86%,4.0,25.0,90.0,7.14%,44.64%,160.71%,56.0,52.0,92.86%,4.0,26.0,90.0,7.14%,46.43%,160.71%,56.0,51.0,91.07%,0.0,24.0,90.0,0.0%,42.86%,160.71%,56.0,50.0,89.29%,3.0,24.0,90.0,5.36%,42.86%,160.71%
y53630,59.0,14.0,23.73%,3.0,2.0,90.0,5.08%,3.39%,152.54%,59.0,14.0,23.73%,1.0,45.0,90.0,1.69%,76.27%,152.54%,59.0,14.0,23.73%,3.0,45.0,90.0,5.08%,76.27%,152.54%,59.0,13.0,22.03%,1.0,47.0,90.0,1.69%,79.66%,152.54%,59.0,13.0,22.03%,1.0,46.0,90.0,1.69%,77.97%,152.54%,59.0,12.0,20.34%,0.0,49.0,90.0,0.0%,83.05%,152.54%,59.0,11.0,18.64%,1.0,48.0,90.0,1.69%,81.36%,152.54%
y53640,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0
y53650,49.0,43.0,87.76%,7.0,7.0,85.0,14.29%,14.29%,173.47%,49.0,43.0,87.76%,2.0,8.0,90.0,4.08%,16.33%,183.67%,49.0,40.0,81.63%,1.0,11.0,90.0,2.04%,22.45%,183.67%,49.0,40.0,81.63%,5.0,11.0,90.0,10.2%,22.45%,183.67%,49.0,39.0,79.59%,1.0,14.0,90.0,2.04%,28.57%,183.67%,49.0,37.0,75.51%,1.0,15.0,90.0,2.04%,30.61%,183.67%,49.0,35.0,71.43%,5.0,17.0,90.0,10.2%,34.69%,183.67%
y53660,54.0,29.0,53.7%,0.0,1.0,85.0,0.0%,1.85%,157.41%,54.0,38.0,70.37%,0.0,25.0,85.0,0.0%,46.3%,157.41%,54.0,39.0,72.22%,0.0,24.0,85.0,0.0%,44.44%,157.41%,54.0,39.0,72.22%,1.0,25.0,85.0,1.85%,46.3%,157.41%,54.0,39.0,72.22%,2.0,25.0,85.0,3.7%,46.3%,157.41%,54.0,38.0,70.37%,0.0,25.0,85.0,0.0%,46.3%,157.41%,54.0,40.0,74.07%,1.0,24.0,85.0,1.85%,44.44%,157.41%
y55265,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0
y55270,117.0,69.0,58.97%,1.0,3.0,75.0,0.85%,2.56%,64.1%,117.0,69.0,58.97%,0.0,50.0,75.0,0.0%,42.74%,64.1%,117.0,67.0,57.26%,1.0,51.0,75.0,0.85%,43.59%,64.1%,117.0,71.0,60.68%,6.0,47.0,75.0,5.13%,40.17%,64.1%,117.0,69.0,58.97%,2.0,51.0,75.0,1.71%,43.59%,64.1%,117.0,72.0,61.54%,4.0,52.0,75.0,3.42%,44.44%,64.1%,117.0,70.0,59.83%,4.0,49.0,75.0,3.42%,41.88%,64.1%
y55275,99.0,24.0,24.24%,0.0,0.0,70.0,0.0%,0.0%,70.71%,99.0,24.0,24.24%,0.0,76.0,70.0,0.0%,76.77%,70.71%,99.0,23.0,23.23%,0.0,76.0,70.0,0.0%,76.77%,70.71%,99.0,23.0,23.23%,1.0,79.0,70.0,1.01%,79.8%,70.71%,99.0,20.0,20.2%,0.0,79.0,70.0,0.0%,79.8%,70.71%,99.0,19.0,19.19%,0.0,80.0,70.0,0.0%,80.81%,70.71%,99.0,20.0,20.2%,0.0,79.0,70.0,0.0%,79.8%,70.71%
y63060,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0
y63070,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0
y63075,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0
y63130,10.0,7.0,70.0%,0.0,1.0,75.0,0.0%,10.0%,750.0%,10.0,7.0,70.0%,0.0,4.0,75.0,0.0%,40.0%,750.0%,10.0,7.0,70.0%,0.0,3.0,75.0,0.0%,30.0%,750.0%,10.0,7.0,70.0%,0.0,5.0,75.0,0.0%,50.0%,750.0%,10.0,7.0,70.0%,0.0,6.0,75.0,0.0%,60.0%,750.0%,10.0,7.0,70.0%,0.0,4.0,75.0,0.0%,40.0%,750.0%,10.0,7.0,70.0%,0.0,4.0,75.0,0.0%,40.0%,750.0%
y63135,10.0,7.0,70.0%,0.0,0.0,75.0,0.0%,0.0%,750.0%,10.0,9.0,90.0%,0.0,1.0,75.0,0.0%,10.0%,750.0%,10.0,9.0,90.0%,0.0,2.0,75.0,0.0%,20.0%,750.0%,10.0,10.0,100.0%,3.0,3.0,75.0,30.0%,30.0%,750.0%,10.0,10.0,100.0%,1.0,2.0,75.0,10.0%,20.0%,750.0%,10.0,9.0,90.0%,0.0,4.0,75.0,0.0%,40.0%,750.0%,10.0,9.0,90.0%,1.0,2.0,75.0,10.0%,20.0%,750.0%
y64170,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0
y64180,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0
y65160,64.0,35.0,54.69%,0.0,2.0,85.0,0.0%,3.12%,132.81%,64.0,34.0,53.12%,0.0,30.0,85.0,0.0%,46.88%,132.81%,64.0,33.0,51.56%,0.0,33.0,85.0,0.0%,51.56%,132.81%,64.0,34.0,53.12%,0.0,33.0,85.0,0.0%,51.56%,132.81%,64.0,32.0,50.0%,0.0,32.0,85.0,0.0%,50.0%,132.81%,64.0,32.0,50.0%,0.0,33.0,85.0,0.0%,51.56%,132.81%,64.0,31.0,48.44%,1.0,33.0,85.0,1.56%,51.56%,132.81%
y65165,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0
y65225,12.0,12.0,100.0%,0.0,2.0,130.0,0.0%,16.67%,1083.33%,15.0,13.0,86.67%,0.0,5.0,130.0,0.0%,33.33%,866.67%,15.0,13.0,86.67%,0.0,4.0,130.0,0.0%,26.67%,866.67%,15.0,13.0,86.67%,2.0,4.0,130.0,13.33%,26.67%,866.67%,15.0,11.0,73.33%,0.0,6.0,130.0,0.0%,40.0%,866.67%,15.0,10.0,66.67%,0.0,7.0,130.0,0.0%,46.67%,866.67%,15.0,10.0,66.67%,0.0,7.0,130.0,0.0%,46.67%,866.67%
